Open time,Day,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1610434800000,2021-01-12 07:00:00,36060.5,36615.1,35714.0,36433.4,44.903,1610438399999,1613561.7826,342,28.416,1019287.8692,0
1610438400000,2021-01-12 08:00:00,36453.3,36496.1,35510.8,35778.9,34.193,1610441999999,1230397.1291,368,18.466,664293.6151,0
1610442000000,2021-01-12 09:00:00,35787.8,36130.2,35482.2,35935.4,30.476,1610445599999,1093006.0207,330,12.327,441540.0446,0
1610445600000,2021-01-12 10:00:00,35924.4,36105.7,34790.7,35061.2,28.601,1610449199999,1008649.7693,315,21.100,743480.5690,0
1610449200000,2021-01-12 11:00:00,35138.1,35766.7,35134.0,35369.2,27.161,1610452799999,962148.0551,302,6.980,247199.1007,0
1610452800000,2021-01-12 12:00:00,35350.9,35861.0,34848.2,34998.1,29.814,1610456399999,1051230.6311,334,17.008,600022.3051,0
1610456400000,2021-01-12 13:00:00,34987.6,35343.1,33214.4,33214.4,34.500,1610459999999,1187552.7773,440,12.850,442948.7958,0
1610460000000,2021-01-12 14:00:00,33320.2,33980.4,32520.4,33367.6,55.814,1610463599999,1858883.8693,606,25.891,862568.8393,0
1610463600000,2021-01-12 15:00:00,33461.0,34269.0,33454.8,33796.1,33.060,1610467199999,1119385.4459,384,15.259,516432.3639,0
1610467200000,2021-01-12 16:00:00,33798.1,34965.8,33798.1,34936.9,29.802,1610470799999,1028767.4285,352,17.677,610613.9210,0
1610470800000,2021-01-12 17:00:00,34966.6,35301.1,34529.2,34973.8,35.787,1610474399999,1247352.1180,428,18.830,656438.0833,0
1610474400000,2021-01-12 18:00:00,34952.9,35506.6,34788.8,34978.7,32.421,1610477999999,1138066.3455,380,14.177,498149.1388,0
1610478000000,2021-01-12 19:00:00,34998.1,35000.1,34137.5,34648.8,31.308,1610481599999,1083277.8938,379,10.693,370638.5784,0
1610481600000,2021-01-12 20:00:00,34581.7,34628.7,33544.7,34259.8,41.618,1610485199999,1417887.2563,482,26.244,894960.3961,0
1610485200000,2021-01-12 21:00:00,34212.4,34828.7,33690.6,34661.3,32.507,1610488799999,1112938.7674,376,13.232,453824.5396,0
1610488800000,2021-01-12 22:00:00,34653.5,35180.3,33353.3,33609.2,41.241,1610492399999,1413864.4753,540,25.287,868370.9784,0
1610492400000,2021-01-12 23:00:00,33655.6,34053.8,33272.8,34021.1,33.717,1610495999999,1133463.9236,448,18.636,626815.3392,0
1610496000000,2021-01-13 00:00:00,33877.8,33878.2,32346.7,32402.7,31.635,1610499599999,1045977.6117,407,13.651,451142.5838,0
1610499600000,2021-01-13 01:00:00,32362.9,33170.0,32362.9,33070.7,35.166,1610503199999,1155367.2026,415,14.299,470291.7677,0
1610503200000,2021-01-13 02:00:00,33064.1,33466.3,32542.6,32981.9,32.465,1610506799999,1070811.7412,373,12.892,425540.2332,0
1610506800000,2021-01-13 03:00:00,32987.0,34318.8,32943.1,33764.7,35.465,1610510399999,1198536.5376,567,21.418,723957.6117,0
1610510400000,2021-01-13 04:00:00,33813.9,33862.8,33066.9,33126.6,32.310,1610513999999,1080193.0868,380,13.573,453684.9261,0
1610514000000,2021-01-13 05:00:00,33126.6,33477.5,32743.0,33269.1,32.604,1610517599999,1080381.6043,441,16.450,546092.2212,0
1610517600000,2021-01-13 06:00:00,33267.0,34195.6,33189.8,33724.2,29.735,1610521199999,1002176.2206,399,13.017,439484.1395,0
1610521200000,2021-01-13 07:00:00,33762.3,35116.0,33708.3,34938.4,31.229,1610524799999,1075992.2053,395,13.611,468171.1355,0
1610524800000,2021-01-13 08:00:00,34951.6,35014.3,34300.0,34504.6,32.415,1610528399999,1122875.9855,393,9.825,340895.5738,0
1610528400000,2021-01-13 09:00:00,34488.9,35054.7,34173.2,34303.4,34.069,1610531999999,1180508.6963,420,13.411,464093.2428,0
1610532000000,2021-01-13 10:00:00,34337.8,34980.0,34294.6,34851.2,32.197,1610535599999,1116408.1713,431,12.487,433375.1783,0
1610535600000,2021-01-13 11:00:00,34873.9,35241.3,34236.1,34312.1,35.586,1610539199999,1236628.2457,458,19.289,670738.9639,0
1610539200000,2021-01-13 12:00:00,34403.6,34460.1,33932.5,34229.1,32.374,1610542799999,1107648.0365,472,18.605,636856.2980,0
1610542800000,2021-01-13 13:00:00,34229.9,34732.7,33955.2,34529.1,30.735,1610546399999,1059146.6924,402,15.012,517488.7285,0
1610546400000,2021-01-13 14:00:00,34556.4,35052.0,34200.0,34202.8,32.870,1610549999999,1138997.0565,410,16.947,587314.8144,0
1610550000000,2021-01-13 15:00:00,34203.6,34797.1,34184.9,34605.3,29.924,1610553599999,1032224.8496,371,15.005,518083.3472,0
1610553600000,2021-01-13 16:00:00,34652.4,34882.3,34396.9,34720.2,31.383,1610557199999,1084801.8218,359,13.366,462032.9028,0
1610557200000,2021-01-13 17:00:00,34721.5,35000.0,34614.2,34774.2,30.772,1610560799999,1070566.1738,375,12.683,441048.8129,0
1610560800000,2021-01-13 18:00:00,34785.1,35879.7,34695.5,35703.5,33.567,1610564399999,1185287.9887,502,19.943,705240.2605,0
1610564400000,2021-01-13 19:00:00,35694.2,36147.5,35549.2,35966.2,34.119,1610567999999,1224452.1437,460,19.014,682516.1069,0
1610568000000,2021-01-13 20:00:00,35999.7,36419.6,35660.2,36196.2,37.098,1610571599999,1338084.0484,545,17.358,626426.3560,0
1610571600000,2021-01-13 21:00:00,36207.5,37344.3,36008.8,37237.5,38.225,1610575199999,1396318.8653,545,18.788,684771.7776,0
1610575200000,2021-01-13 22:00:00,37259.5,37763.5,36863.7,37103.7,38.440,1610578799999,1436377.4114,504,13.928,521008.1025,0
1610578800000,2021-01-13 23:00:00,37117.0,37564.0,36953.0,37355.7,31.076,1610582399999,1158692.7357,380,13.670,509862.3008,0
1610582400000,2021-01-14 00:00:00,37451.4,38144.7,37451.4,37765.8,33.693,1610585999999,1274013.0767,483,17.965,678821.7192,0
1610586000000,2021-01-14 01:00:00,37766.0,37768.0,37376.2,37413.6,31.286,1610589599999,1174159.7852,381,14.128,530136.7975,0
1610589600000,2021-01-14 02:00:00,37414.6,37644.6,37104.7,37417.6,29.828,1610593199999,1115625.5912,369,14.046,525599.9002,0
1610593200000,2021-01-14 03:00:00,37431.8,37462.6,36980.0,37024.3,27.284,1610596799999,1016763.0332,331,14.584,543485.4886,0
1610596800000,2021-01-14 04:00:00,37049.4,37534.9,36615.4,37476.6,32.435,1610600399999,1205584.9813,407,20.873,777338.2642,0
1610600400000,2021-01-14 05:00:00,37499.0,37742.1,37307.2,37503.1,28.933,1610603999999,1085471.6283,346,13.151,493181.7960,0
1610604000000,2021-01-14 06:00:00,37541.9,38100.0,37450.0,37804.2,32.349,1610607599999,1222004.7090,398,14.480,547005.0128,0
1610607600000,2021-01-14 07:00:00,37806.9,38534.1,37709.1,38212.5,46.191,1610611199999,1765881.0192,648,23.450,897951.5779,0
1610611200000,2021-01-14 08:00:00,38216.9,38757.0,38212.0,38364.6,34.312,1610614799999,1321602.1406,489,19.270,742091.6834,0
1610614800000,2021-01-14 09:00:00,38331.9,38446.9,37952.4,37957.1,28.459,1610618399999,1087799.1516,375,12.667,484175.3815,0
1610618400000,2021-01-14 10:00:00,37898.9,38461.9,37898.9,38461.9,30.575,1610621999999,1166717.0214,361,14.338,547451.2008,0
1610622000000,2021-01-14 11:00:00,38412.1,38579.7,37990.6,38341.1,35.733,1610625599999,1367574.8049,446,17.303,662702.1468,0
1610625600000,2021-01-14 12:00:00,38294.4,38381.1,37693.5,38298.2,33.645,1610629199999,1280457.7781,435,12.505,475945.6219,0
1610629200000,2021-01-14 13:00:00,38201.1,38999.2,38171.2,38999.2,40.004,1610632799999,1543638.3851,540,21.023,811207.3739,0
1610632800000,2021-01-14 14:00:00,39000.0,39734.5,38771.6,39572.9,49.611,1610636399999,1948991.7126,780,18.528,726160.2161,0
1610636400000,2021-01-14 15:00:00,39557.8,40132.9,39338.1,39486.4,47.664,1610639999999,1891572.5037,718,21.113,838552.6422,0
1610640000000,2021-01-14 16:00:00,39510.0,39955.0,39119.2,39221.4,35.961,1610643599999,1425624.6548,539,13.260,525933.6707,0
1610643600000,2021-01-14 17:00:00,39294.3,39822.7,39294.3,39386.1,29.728,1610647199999,1175977.1449,362,11.797,466331.7334,0
1610647200000,2021-01-14 18:00:00,39386.6,39566.0,39221.7,39251.9,30.088,1610650799999,1185615.0136,424,13.831,544930.9525,0
1610650800000,2021-01-14 19:00:00,39251.0,39868.4,39251.0,39790.7,28.711,1610654399999,1136682.2904,397,9.999,396026.5743,0
1610654400000,2021-01-14 20:00:00,39788.2,39870.6,39286.4,39320.8,29.374,1610657999999,1162632.2382,402,12.308,487191.2915,0
1610658000000,2021-01-14 21:00:00,39321.5,39474.9,38226.0,38748.7,59.139,1610661599999,2289167.4066,998,29.518,1142740.3319,0
1610661600000,2021-01-14 22:00:00,38735.1,39041.3,38327.3,38919.5,42.642,1610665199999,1649437.8283,650,17.932,693936.9856,0
1610665200000,2021-01-14 23:00:00,38908.3,39262.8,38695.6,39091.6,51.083,1610668799999,1991572.7191,789,23.467,915322.0071,0
1610668800000,2021-01-15 00:00:00,39164.4,39703.3,38985.9,39413.6,42.083,1610672399999,1660086.2498,664,18.067,712560.6054,0
1610672400000,2021-01-15 01:00:00,39455.9,39570.3,38965.3,39092.9,40.924,1610675999999,1610222.7273,609,14.774,580857.7635,0
1610676000000,2021-01-15 02:00:00,39091.8,39424.9,38757.3,39224.2,39.636,1610679599999,1553402.1272,566,21.081,826079.4785,0
1610679600000,2021-01-15 03:00:00,39215.8,39322.0,38406.8,38635.9,52.498,1610683199999,2034971.0033,825,27.680,1073114.9833,0
1610683200000,2021-01-15 04:00:00,38632.0,38749.4,38289.5,38397.9,53.066,1610686799999,2043802.7131,874,24.476,942746.5249,0
1610686800000,2021-01-15 05:00:00,38372.7,38797.0,37761.3,37775.6,53.595,1610690399999,2056182.0917,853,26.092,1001507.9928,0
1610690400000,2021-01-15 06:00:00,37750.0,38068.5,37536.2,37963.4,72.064,1610693999999,2726244.0304,1112,35.037,1325631.7349,0
1610694000000,2021-01-15 07:00:00,37966.5,38443.8,37615.6,38409.9,68.148,1610697599999,2603055.0091,1156,34.261,1309151.6497,0
1610697600000,2021-01-15 08:00:00,38415.2,38602.8,38121.3,38251.4,54.002,1610701199999,2071330.4812,869,27.113,1039766.2166,0
1610701200000,2021-01-15 09:00:00,38235.3,38666.6,37999.5,38630.5,51.334,1610704799999,1966816.2301,783,23.405,896400.7321,0
1610704800000,2021-01-15 10:00:00,38642.8,38790.0,38280.1,38430.8,51.867,1610708399999,1997856.5335,781,30.439,1172740.1405,0
1610708400000,2021-01-15 11:00:00,38383.6,38506.4,37893.0,38018.7,55.386,1610711999999,2113805.7375,886,23.565,899367.4340,0
